724666, DENVER/CENTENNIAL [GOLDEN - NREL], CO, -7, 39.742,-105.179, 1829
Date (MM/DD/YYYY),Time (HH:MM),Wspd (m/s),Dry-bulb (C),DHI (W/m^2),DNI (W/m^2),GHI (W/m^2),Alb (unitless)
01/05/1987,18:00,3.7707559783333333,25.689437555555557,84.37183666666667,147.53841626666664,106.89243333333334,18.69890905
01/05/1987,19:00,1.8966602283333331,23.562189611111112,2.849308,1.6046132333333332,2.3722867166666664,0.92940229
01/05/1987,20:00,3.9651458666666666,19.39982461111111,0.2518236166666667,0.52751195,0.32809744999999996,2.1601833766666667
01/05/1987,21:00,3.8696475,21.105731055555555,0.020713883333333336,0.0383837,0.0,0.7298309266666666
01/05/1987,22:00,2.94700208,20.947443500000002,0.0,0.014393850000000001,0.0,0.0
01/05/1987,23:00,4.073413550000001,21.678582277777778,0.0,0.0,0.0,0.0
01/05/1987,24:00,5.42188085,22.30854561111111,0.0,0.023989883333333333,0.0,0.0
01/06/1987,01:00,4.264278166666666,22.42503727777778,0.0,0.024600633333333333,0.0,0.0
01/06/1987,02:00,2.8844638666666667,22.221255111111113,0.0,0.006368216666666667,0.0,0.0
01/06/1987,03:00,2.118786666666667,21.155588555555553,0.0,0.026083433333333336,0.0,0.05723690833333332
01/06/1987,04:00,2.8590318999999997,21.461704555555556,4.912057066666667,16.728803283333335,4.913644649999999,0.973123935
01/06/1987,05:00,2.977177033333333,21.5674695,42.9007,85.51804,58.96867333333333,12.635136533333334
01/06/1987,06:00,3.75751185,23.835875277777777,100.63471333333334,591.0656,301.16864999999996,72.2132455
01/06/1987,07:00,2.5395912166666665,25.372976055555558,161.98049,445.93737233333337,377.0403833333333,79.77839616666667
01/06/1987,08:00,1.1160349298333332,26.679885944444443,261.3063166666667,123.05470183333334,339.0344666666667,63.23797716666666
01/06/1987,09:00,3.777418283333333,25.219107944444445,143.17146666666667,1.29170425,140.80915,30.475203
01/06/1987,10:00,3.8952004333333337,25.61143666666667,233.06368333333333,0.30183845,231.57953333333336,46.56242616666667
01/06/1987,11:00,1.507505825,27.69225777777778,458.19058333333334,16.047944049999998,475.8972166666666,94.58679366666667
01/06/1987,12:00,2.0322364083333335,29.659074444444446,388.29123333333337,439.13603466666666,808.3497166666667,152.04206866666667
01/06/1987,13:00,1.5961019483333334,30.53038472222222,403.27605,335.6541838333333,715.2946666666667,130.05613716666667
01/06/1987,14:00,2.954744155,28.743414388888887,363.44449999999995,370.0500795,669.3943333333334,117.06282833333333
01/06/1987,15:00,2.6433646333333334,26.613161555555557,116.52471166666668,9.603394416666667,121.21972333333333,25.361737466666668
01/06/1987,16:00,5.3062364833333335,22.665666944444446,90.66976833333334,0.6021877333333333,89.09625666666668,16.9143927
01/06/1987,17:00,1.9082739106666666,22.583583833333332,39.92964,0.07973325,38.07419166666667,7.0644136500000005
01/06/1987,18:00,1.0302946296666666,21.885725611111113,36.235168333333334,0.06246056666666667,34.36006333333333,6.193538216666666
01/06/1987,19:00,1.4237590886666667,21.238340777777776,3.0158765166666663,0.18895331666666668,2.2248642,0.5435900333333332
01/06/1987,20:00,1.6215999821666667,20.453124333333335,0.0,0.2595268666666667,0.0,0.0
01/06/1987,21:00,0.8581538693333334,18.516560055555555,0.0,0.18275921666666667,0.0,0.08585964166666667
01/06/1987,22:00,0.8958889596666667,15.702238777777778,0.0,0.10939386666666667,0.0,0.0
01/06/1987,23:00,0.9043220255000001,14.097915666666667,0.0,0.09151013333333333,0.0,0.42953271666666665
01/06/1987,24:00,0.8620286791666666,14.128692777777779,0.00337995,0.029572916666666667,0.0,0.7732528366666666
01/07/1987,01:00,1.2528639499999998,15.563099444444445,0.0,0.07039935,0.0,0.4868647333333333
01/07/1987,02:00,1.0526688094999999,15.212139722222222,0.0036280333333333333,0.06359476666666666,0.0,0.58711072
01/07/1987,03:00,0.9719225475,15.372931333333334,0.0015504666666666667,0.012823566666666668,0.0,0.35799123833333335
01/07/1987,04:00,2.619109115166667,18.164126222222226,6.120160616666666,39.64477045,7.287308033333333,1.3316447283333332
01/07/1987,05:00,2.1533673866666665,20.360116055555558,38.89568,478.16766666666666,118.15904166666668,25.5886154
01/07/1987,06:00,0.8270455346666666,22.473887111111114,60.74724666666667,716.6718,305.8693333333333,74.735566
01/07/1987,07:00,1.3612444566666668,22.76831588888889,72.76390833333333,855.3187666666666,516.5628333333333,116.74108033333333
01/07/1987,08:00,1.6098097333333332,23.823546277777776,81.99049,910.0290333333334,701.54795,141.67402666666666
01/07/1987,09:00,1.2551757283333334,26.162168,109.73765333333334,936.0051500000001,867.8569166666667,159.90198166666667
